[2024-02-21 09:32:22,858] <INFO> Начало работы программы
[2024-02-21 09:32:22,864] <INFO> COM1 - FabulaTech Virtual Serial Port Control (COM1)
[2024-02-21 09:32:22,864] <INFO> COM2 - FabulaTech Virtual Serial Port Control (COM2)
[2024-02-21 09:32:22,864] <INFO> COM3 - FabulaTech Virtual Serial Port Control (COM3)
[2024-02-21 09:32:22,866] <INFO> Успешное добавление прослушивания для COM1 на Принтер 192.168.9.76:9100
[2024-02-21 09:32:22,866] <INFO> Успешное подключение к COM1
[2024-02-21 09:32:22,867] <INFO> Успешное добавление прослушивания для COM2 на Принтер 192.168.9.69:9100
[2024-02-21 09:32:22,869] <INFO> Успешное подключение к COM2
[2024-02-21 09:32:22,870] <INFO> Успешное добавление прослушивания для COM3 на Принтер 192.168.9.69:9100
[2024-02-21 09:32:22,870] <INFO> Успешное подключение к COM3
[2024-02-21 09:32:22,871] <ERROR> COM-порт используется или недоступен: could not open port 'COM4': FileNotFoundError(2, 'Не удается найти указанный файл.', None, 2)
[2024-02-21 09:32:22,871] <ERROR> COM-порт используется или недоступен: could not open port 'COM5': FileNotFoundError(2, 'Не удается найти указанный файл.', None, 2)
[2024-02-21 09:32:22,871] <INFO> Конец работы программы
[2024-02-21 09:32:28,666] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:28,766] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:28,866] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:28,969] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:29,070] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:29,172] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:29,272] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:29,372] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:29,475] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:29,577] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:29,677] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:29,777] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:29,881] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:29,982] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:30,081] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:30,181] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:30,283] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:30,384] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:30,486] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:30,587] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:30,687] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:30,787] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:30,890] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:30,989] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:31,093] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:31,193] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:31,293] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:31,396] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:31,497] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:31,598] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:31,699] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:31,799] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:31,899] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:32,002] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:32,103] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:32,205] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:32,304] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:32,405] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:32,508] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:32,609] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:32,710] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:32,781] <INFO> COM1 получил: ['0.34', 'kg\r\n']
[2024-02-21 09:32:32,783] <INFO> Заглушка Отправка на Зебру ['0.34', 'kg\r\n']
[2024-02-21 09:32:32,809] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:32,913] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:33,013] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:33,113] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:33,216] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:33,317] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:33,417] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:33,519] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:33,618] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:33,721] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:33,822] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:33,923] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:34,025] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:34,124] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:34,226] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:34,327] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:34,430] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:34,528] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:34,629] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:34,732] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:34,832] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:34,934] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:35,035] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:35,135] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:35,236] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:35,338] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:35,441] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:35,542] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:35,642] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:35,743] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:35,842] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:35,945] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:36,045] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:36,146] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:36,247] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:36,348] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:36,451] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:36,550] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:36,653] <INFO> COM3 получил: ['0.445', 'kg\r\n']
